NUTS,SOUCET_HLASU,ZAPSANI_VOLICI
CZ010,627399,903239
CZ0201,53238,78305
CZ0202,49603,72359
CZ0203,79735,127335
CZ0204,52075,78815
CZ0205,38862,59929
CZ0206,53024,83538
CZ0207,62974,93887
CZ0208,51877,77427
CZ0209,96306,131444
CZ020A,79389,106853
CZ020B,61497,92306
CZ020C,28054,43949
CZ0311,103880,153290
CZ0312,29777,47633
CZ0313,48722,73788
CZ0314,36780,56679
CZ0315,25691,40891
CZ0316,36253,55671
CZ0317,54736,81797
CZ0321,26843,42641
CZ0322,45618,69273
CZ0323,92302,142005
CZ0324,35332,54490
CZ0325,41424,63676
CZ0326,25018,38325
CZ0327,23142,40068
CZ0411,39428,70607
CZ0412,53178,89418
CZ0413,37697,70667
CZ0421,58248,102093
CZ0422,52288,96360
CZ0423,59830,93934
CZ0424,40591,68647
CZ0425,45599,87141
CZ0426,54411,99943
CZ0427,52975,92223
CZ0511,47492,81380
CZ0512,46939,72352
CZ0513,86591,134044
CZ0514,40527,57847
CZ0521,88731,128659
CZ0522,42844,63495
CZ0523,57876,87157
CZ0524,42489,62546
CZ0525,62475,95082
CZ0531,55793,83143
CZ0532,89687,132695
CZ0533,54160,82754
CZ0534,74352,107836
CZ0631,51362,75130
CZ0632,60530,88326
CZ0633,39442,57598
CZ0634,60962,89307
CZ0635,64898,94269
CZ0641,58777,85877
CZ0642,193727,301806
CZ0643,122414,172680
CZ0644,62155,95380
CZ0645,80907,125878
CZ0646,48375,72860
CZ0647,57935,92028
CZ0711,18680,31527
CZ0712,122391,186679
CZ0713,55634,86701
CZ0714,65864,103648
CZ0715,62259,97281
CZ0721,55395,84966
CZ0722,76864,113942
CZ0723,75524,114002
CZ0724,105432,154493
CZ0801,43043,75149
CZ0802,109545,171377
CZ0803,110207,199946
CZ0804,77418,120362
CZ0805,90918,141175
CZ0806,147496,254921
CZZZZZ,13184,18808
,5375090,8275752
