NUTS,counted
CZ010,36.747
CZ0201,71.229
CZ0202,49.707
CZ0203,61.728
CZ0204,83.99
CZ0205,84.548
CZ0206,68.973
CZ0207,65.989
CZ0208,74.328
CZ0209,40.719
CZ020A,31.894
CZ020B,75.843
CZ020C,83.806
CZ0311,76.736
CZ0312,73.772
CZ0313,79.9
CZ0314,94.353
CZ0315,81.896
CZ0316,95.78
CZ0317,94.11
CZ0321,98.104
CZ0322,85.326
CZ0323,88.234
CZ0324,86.483
CZ0325,91.647
CZ0326,91.658
CZ0327,86.609
CZ0411,67.117
CZ0412,72.695
CZ0413,86.596
CZ0421,65.489
CZ0422,75.252
CZ0423,89.238
CZ0424,86.852
CZ0425,92.59
CZ0426,91.902
CZ0427,92.066
CZ0511,92.573
CZ0512,86.911
CZ0513,64.295
CZ0514,83.707
CZ0521,85.945
CZ0522,90.552
CZ0523,93.251
CZ0524,87.658
CZ0525,80.888
CZ0531,77.533
CZ0532,62.366
CZ0533,87.334
CZ0534,80.319
CZ0631,83.655
CZ0632,85.675
CZ0633,84.98
CZ0634,80.575
CZ0635,85.496
CZ0641,80.862
CZ0642,68.46
CZ0643,51.524
CZ0644,63.818
CZ0645,65.971
CZ0646,81.428
CZ0647,82.91
CZ0711,73.196
CZ0712,67.169
CZ0713,85.775
CZ0714,91.81
CZ0715,72.886
CZ0721,84.979
CZ0722,80.053
CZ0723,80.692
CZ0724,75.598
CZ0801,94.717
CZ0802,82.979
CZ0803,82.582
CZ0804,82.074
CZ0805,76.962
CZ0806,79.196
CZZZZZ,10.133
